Variable:,location_id,location_name,FIPS,cause_id,cause_name,sex_id,sex,year_id,mx,upper,lower
Label:,Location ID,Location name,FIPS,Cause ID,Cause name,Sex ID,Sex name,Year ID,Mortality rate,95% Uncertainty Interval - Upper Bound,95% Uncertainty Interval - Lower Bound
Value coding:,102,United States,,294,All causes,1,Male,1980,,,
,523,Alabama,1,295,"Communicable, maternal, neonatal, and nutritional diseases",2,Female,1981,,,
,524,Alaska,2,296,HIV/AIDS and tuberculosis,3,Both,1982,,,
,525,Arizona,4,301,"Diarrhea, lower respiratory, and other common infectious diseases",,,1983,,,
,526,Arkansas,5,344,Neglected tropical diseases and malaria,,,1984,,,
,527,California,6,366,Maternal disorders,,,1985,,,
,528,Colorado,8,380,Neonatal disorders,,,1986,,,
,529,Connecticut,9,386,Nutritional deficiencies,,,1987,,,
,530,Delaware,10,392,"Other communicable, maternal, neonatal, and nutritional diseases",,,1988,,,
,531,District of Columbia,11,409,Non-communicable diseases,,,1989,,,
,532,Florida,12,410,Neoplasms,,,1990,,,
,533,Georgia,13,491,Cardiovascular diseases,,,1991,,,
,534,Hawaii,15,508,Chronic respiratory diseases,,,1992,,,
,535,Idaho,16,521,Cirrhosis and other chronic liver diseases,,,1993,,,
,536,Illinois,17,526,Digestive diseases,,,1994,,,
,537,Indiana,18,542,Neurological disorders,,,1995,,,
,538,Iowa,19,558,Mental and substance use disorders,,,1996,,,
,539,Kansas,20,586,"Diabetes, urogenital, blood, and endocrine diseases",,,1997,,,
,540,Kentucky,21,626,Musculoskeletal disorders,,,1998,,,
,541,Louisiana,22,640,Other non-communicable diseases,,,1999,,,
,542,Maine,23,687,Injuries,,,2000,,,
,543,Maryland,24,688,Transport injuries,,,2001,,,
,544,Massachusetts,25,696,Unintentional injuries,,,2002,,,
,545,Michigan,26,717,Self-harm and interpersonal violence,,,2003,,,
,546,Minnesota,27,728,"Forces of nature, war, and legal intervention",,,2004,,,
,547,Mississippi,28,,,,,2005,,,
,548,Missouri,29,,,,,2006,,,
,549,Montana,30,,,,,2007,,,
,550,Nebraska,31,,,,,2008,,,
,551,Nevada,32,,,,,2009,,,
,552,New Hampshire,33,,,,,2010,,,
,553,New Jersey,34,,,,,2011,,,
,554,New Mexico,35,,,,,2012,,,
,555,New York,36,,,,,2013,,,
,556,North Carolina,37,,,,,2014,,,
,557,North Dakota,38,,,,,,,,
,558,Ohio,39,,,,,,,,
,559,Oklahoma,40,,,,,,,,
,560,Oregon,41,,,,,,,,
,561,Pennsylvania,42,,,,,,,,
,562,Rhode Island,44,,,,,,,,
,563,South Carolina,45,,,,,,,,
,564,South Dakota,46,,,,,,,,
,565,Tennessee,47,,,,,,,,
,566,Texas,48,,,,,,,,
,567,Utah,49,,,,,,,,
,568,Vermont,50,,,,,,,,
,569,Virginia,51,,,,,,,,
,570,Washington,53,,,,,,,,
,571,West Virginia,54,,,,,,,,
,572,Wisconsin,55,,,,,,,,
,573,Wyoming,56,,,,,,,,
,614,Autauga County,1001,,,,,,,,
,637,Baldwin County,1003,,,,,,,,
,624,Barbour County,1005,,,,,,,,
,603,Bibb County,1007,,,,,,,,
,588,Blount County,1009,,,,,,,,
,622,Bullock County,1011,,,,,,,,
,628,Butler County,1013,,,,,,,,
,593,Calhoun County,1015,,,,,,,,
,605,Chambers County,1017,,,,,,,,
,584,Cherokee County,1019,,,,,,,,
,608,Chilton County,1021,,,,,,,,
,621,Choctaw County,1023,,,,,,,,
,627,Clarke County,1025,,,,,,,,
,602,Clay County,1027,,,,,,,,
,594,Cleburne County,1029,,,,,,,,
,633,Coffee County,1031,,,,,,,,
,578,Colbert County,1033,,,,,,,,
,631,Conecuh County,1035,,,,,,,,
,607,Coosa County,1037,,,,,,,,
,635,Covington County,1039,,,,,,,,
,626,Crenshaw County,1041,,,,,,,,
,586,Cullman County,1043,,,,,,,,
,634,Dale County,1045,,,,,,,,
,615,Dallas County,1047,,,,,,,,
,579,DeKalb County,1049,,,,,,,,
,612,Elmore County,1051,,,,,,,,
,638,Escambia County,1053,,,,,,,,
,589,Etowah County,1055,,,,,,,,
,595,Fayette County,1057,,,,,,,,
,583,Franklin County,1059,,,,,,,,
,639,Geneva County,1061,,,,,,,,
,604,Greene County,1063,,,,,,,,
,609,Hale County,1065,,,,,,,,
,630,Henry County,1067,,,,,,,,
,636,Houston County,1069,,,,,,,,
,577,Jackson County,1071,,,,,,,,
,596,Jefferson County,1073,,,,,,,,
,590,Lamar County,1075,,,,,,,,
,574,Lauderdale County,1077,,,,,,,,
,580,Lawrence County,1079,,,,,,,,
,613,Lee County,1081,,,,,,,,
,575,Limestone County,1083,,,,,,,,
,620,Lowndes County,1085,,,,,,,,
,616,Macon County,1087,,,,,,,,
,576,Madison County,1089,,,,,,,,
,617,Marengo County,1091,,,,,,,,
,585,Marion County,1093,,,,,,,,
,582,Marshall County,1095,,,,,,,,
,640,Mobile County,1097,,,,,,,,
,629,Monroe County,1099,,,,,,,,
,619,Montgomery County,1101,,,,,,,,
,581,Morgan County,1103,,,,,,,,
,611,Perry County,1105,,,,,,,,
,600,Pickens County,1107,,,,,,,,
,625,Pike County,1109,,,,,,,,
,601,Randolph County,1111,,,,,,,,
,618,Russell County,1113,,,,,,,,
,592,Saint Clair County,1115,,,,,,,,
,599,Shelby County,1117,,,,,,,,
,610,Sumter County,1119,,,,,,,,
,597,Talladega County,1121,,,,,,,,
,606,Tallapoosa County,1123,,,,,,,,
,598,Tuscaloosa County,1125,,,,,,,,
,591,Walker County,1127,,,,,,,,
,632,Washington County,1129,,,,,,,,
,623,Wilcox County,1131,,,,,,,,
,587,Winston County,1133,,,,,,,,
,660,Aleutians East Borough,2013,,,,,,,,
,661,Aleutians West Census Area,2016,,,,,,,,
,649,Anchorage Municipality,2020,,,,,,,,
,648,Bethel Census Area,2050,,,,,,,,
,644,Bristol Bay Borough,2060,,,,,,,,
,667,Denali Borough,2068,,,,,,,,
,651,Dillingham Census Area,2070,,,,,,,,
,643,Fairbanks North Star Borough,2090,,,,,,,,
,653,Haines Borough,2100,,,,,,,,
,4990,Hoonah-Angoon Census Area,2105,,,,,,,,
,654,Juneau City and Borough,2110,,,,,,,,
,650,Kenai Peninsula Borough,2122,,,,,,,,
,658,Ketchikan Gateway Borough,2130,,,,,,,,
,655,Kodiak Island Borough,2150,,,,,,,,
,44633,Kusilvak Census Area,2158,,,,,,,,
,652,Lake and Peninsula Borough,2164,,,,,,,,
,646,Matanuska-Susitna Borough,2170,,,,,,,,
,645,Nome Census Area,2180,,,,,,,,
,641,North Slope Borough,2185,,,,,,,,
,642,Northwest Arctic Borough,2188,,,,,,,,
,4991,Petersburg Borough,2195,,,,,,,,
,4992,Prince of Wales-Hyder Census Area,2198,,,,,,,,
,656,Sitka City and Borough,2220,,,,,,,,
,4993,Skagway Municipality,2230,,,,,,,,
,666,Southeast Fairbanks Census Area,2240,,,,,,,,
,662,Valdez-Cordova Census Area,2261,,,,,,,,
,4994,Wrangell City and Borough,2275,,,,,,,,
,663,Yakutat City and Borough,2282,,,,,,,,
,665,Yukon-Koyukuk Census Area,2290,,,,,,,,
,671,Apache County,4001,,,,,,,,
,681,Cochise County,4003,,,,,,,,
,669,Coconino County,4005,,,,,,,,
,673,Gila County,4007,,,,,,,,
,677,Graham County,4009,,,,,,,,
,676,Greenlee County,4011,,,,,,,,
,674,La Paz County,4012,,,,,,,,
,675,Maricopa County,4013,,,,,,,,
,670,Mohave County,4015,,,,,,,,
,668,Navajo County,4017,,,,,,,,
,680,Pima County,4019,,,,,,,,
,679,Pinal County,4021,,,,,,,,
,682,Santa Cruz County,4023,,,,,,,,
,672,Yavapai County,4025,,,,,,,,
,678,Yuma County,4027,,,,,,,,
,733,Arkansas County,5001,,,,,,,,
,756,Ashley County,5003,,,,,,,,
,684,Baxter County,5005,,,,,,,,
,688,Benton County,5007,,,,,,,,
,691,Boone County,5009,,,,,,,,
,751,Bradley County,5011,,,,,,,,
,749,Calhoun County,5013,,,,,,,,
,690,Carroll County,5015,,,,,,,,
,753,Chicot County,5017,,,,,,,,
