measure_id,measure_name,location_id,location_name,FIPS,sex_id,sex,age_id,age_name,year_id,metric,val,upper,lower
26,Life expectancy,567,Utah,49,1,Male,161,0,1980,Years,72.68794025,72.9156688,72.44495529
26,Life expectancy,567,Utah,49,1,Male,161,0,1981,Years,72.86905652,73.09521784,72.64671615
26,Life expectancy,567,Utah,49,1,Male,161,0,1982,Years,73.33563521,73.55796991,73.12606579
26,Life expectancy,567,Utah,49,1,Male,161,0,1983,Years,73.64485604,73.86398831,73.43870912
26,Life expectancy,567,Utah,49,1,Male,161,0,1984,Years,73.53020353,73.74428759,73.32981385
26,Life expectancy,567,Utah,49,1,Male,161,0,1985,Years,73.70347193,73.9081076,73.49000048
26,Life expectancy,567,Utah,49,1,Male,161,0,1986,Years,73.83334068,74.03936853,73.60814691
26,Life expectancy,567,Utah,49,1,Male,161,0,1987,Years,74.00940368,74.22281693,73.80484041
26,Life expectancy,567,Utah,49,1,Male,161,0,1988,Years,74.19723548,74.41979883,73.9956572
26,Life expectancy,567,Utah,49,1,Male,161,0,1989,Years,74.38498154,74.59012285,74.17380374
26,Life expectancy,567,Utah,49,1,Male,161,0,1990,Years,74.49140093,74.68128742,74.286776
26,Life expectancy,567,Utah,49,1,Male,161,0,1991,Years,74.70872835,74.91549927,74.50567847
26,Life expectancy,567,Utah,49,1,Male,161,0,1992,Years,75.064721,75.26782565,74.8722458
26,Life expectancy,567,Utah,49,1,Male,161,0,1993,Years,74.95620347,75.15327591,74.75827673
26,Life expectancy,567,Utah,49,1,Male,161,0,1994,Years,75.09601054,75.28739543,74.90737237
26,Life expectancy,567,Utah,49,1,Male,161,0,1995,Years,75.20648238,75.39963148,75.01075822
26,Life expectancy,567,Utah,49,1,Male,161,0,1996,Years,75.53047602,75.71543124,75.35267799
26,Life expectancy,567,Utah,49,1,Male,161,0,1997,Years,76.01796658,76.20332279,75.84364276
26,Life expectancy,567,Utah,49,1,Male,161,0,1998,Years,76.1639983,76.35518683,75.97835838
26,Life expectancy,567,Utah,49,1,Male,161,0,1999,Years,76.25109763,76.41910214,76.08861505
26,Life expectancy,567,Utah,49,1,Male,161,0,2000,Years,76.42517161,76.59514133,76.25848229
26,Life expectancy,567,Utah,49,1,Male,161,0,2001,Years,76.4288677,76.60572009,76.23825588
26,Life expectancy,567,Utah,49,1,Male,161,0,2002,Years,76.47157251,76.63525803,76.29960113
26,Life expectancy,567,Utah,49,1,Male,161,0,2003,Years,76.65958699,76.83133621,76.47893433
26,Life expectancy,567,Utah,49,1,Male,161,0,2004,Years,76.84460753,77.01946036,76.67403341
26,Life expectancy,567,Utah,49,1,Male,161,0,2005,Years,77.10786991,77.29287318,76.91519857
26,Life expectancy,567,Utah,49,1,Male,161,0,2006,Years,77.22945148,77.40103679,77.04603047
26,Life expectancy,567,Utah,49,1,Male,161,0,2007,Years,77.43778558,77.60995483,77.2626972
26,Life expectancy,567,Utah,49,1,Male,161,0,2008,Years,77.77431915,77.94835413,77.60452244
26,Life expectancy,567,Utah,49,1,Male,161,0,2009,Years,77.93331008,78.11140195,77.75000428
26,Life expectancy,567,Utah,49,1,Male,161,0,2010,Years,78.05991125,78.22371669,77.87977388
26,Life expectancy,567,Utah,49,1,Male,161,0,2011,Years,78.22440011,78.39603481,78.05709839
26,Life expectancy,567,Utah,49,1,Male,161,0,2012,Years,78.1815705,78.34737186,78.01165697
26,Life expectancy,567,Utah,49,1,Male,161,0,2013,Years,78.15995469,78.33378141,77.99775044
26,Life expectancy,567,Utah,49,1,Male,161,0,2014,Years,78.20991059,78.38610663,78.03202358
26,Life expectancy,567,Utah,49,2,Female,161,0,1980,Years,79.10222636,79.29282019,78.89516346
26,Life expectancy,567,Utah,49,2,Female,161,0,1981,Years,79.22243196,79.41249906,79.02800739
26,Life expectancy,567,Utah,49,2,Female,161,0,1982,Years,79.32760104,79.52019644,79.13171584
26,Life expectancy,567,Utah,49,2,Female,161,0,1983,Years,79.42152948,79.61715865,79.23338659
26,Life expectancy,567,Utah,49,2,Female,161,0,1984,Years,79.49492947,79.70851308,79.2936608
26,Life expectancy,567,Utah,49,2,Female,161,0,1985,Years,79.54089671,79.7145028,79.3524619
26,Life expectancy,567,Utah,49,2,Female,161,0,1986,Years,79.74579792,79.92396338,79.56545915
26,Life expectancy,567,Utah,49,2,Female,161,0,1987,Years,79.70929456,79.89392789,79.52955163
26,Life expectancy,567,Utah,49,2,Female,161,0,1988,Years,79.73280107,79.91633979,79.55010461
26,Life expectancy,567,Utah,49,2,Female,161,0,1989,Years,79.91892502,80.10092394,79.74466503
26,Life expectancy,567,Utah,49,2,Female,161,0,1990,Years,80.39902425,80.56757212,80.23251865
26,Life expectancy,567,Utah,49,2,Female,161,0,1991,Years,80.23124845,80.39968789,80.06305434
26,Life expectancy,567,Utah,49,2,Female,161,0,1992,Years,80.41767488,80.58175497,80.24385049
26,Life expectancy,567,Utah,49,2,Female,161,0,1993,Years,80.29260318,80.45328087,80.12684732
26,Life expectancy,567,Utah,49,2,Female,161,0,1994,Years,80.44507806,80.61743907,80.27164059
26,Life expectancy,567,Utah,49,2,Female,161,0,1995,Years,80.36322029,80.521776,80.19360158
