measure_id,measure_name,location_id,location_name,FIPS,sex_id,sex,age_id,age_name,year_id,metric,val,upper,lower
26,Life expectancy,542,Maine,23,1,Male,161,0,1980,Years,70.81029884,70.99919901,70.60615571
26,Life expectancy,542,Maine,23,1,Male,161,0,1981,Years,71.17409051,71.36133209,70.97970786
26,Life expectancy,542,Maine,23,1,Male,161,0,1982,Years,71.60152278,71.7878345,71.40310897
26,Life expectancy,542,Maine,23,1,Male,161,0,1983,Years,71.71050084,71.89481456,71.52865707
26,Life expectancy,542,Maine,23,1,Male,161,0,1984,Years,71.98488342,72.17213239,71.80581932
26,Life expectancy,542,Maine,23,1,Male,161,0,1985,Years,71.81788148,71.98683363,71.65086577
26,Life expectancy,542,Maine,23,1,Male,161,0,1986,Years,72.11112408,72.28933933,71.94480632
26,Life expectancy,542,Maine,23,1,Male,161,0,1987,Years,72.2098358,72.38056883,72.03720698
26,Life expectancy,542,Maine,23,1,Male,161,0,1988,Years,72.34044141,72.51747773,72.16599804
26,Life expectancy,542,Maine,23,1,Male,161,0,1989,Years,72.58768522,72.77177206,72.42431966
26,Life expectancy,542,Maine,23,1,Male,161,0,1990,Years,72.82135544,72.98547645,72.64642571
26,Life expectancy,542,Maine,23,1,Male,161,0,1991,Years,73.00254719,73.18332613,72.83990764
26,Life expectancy,542,Maine,23,1,Male,161,0,1992,Years,73.31339709,73.48364769,73.14876353
26,Life expectancy,542,Maine,23,1,Male,161,0,1993,Years,73.27938835,73.44370937,73.10140745
26,Life expectancy,542,Maine,23,1,Male,161,0,1994,Years,73.43696112,73.60661649,73.2730054
26,Life expectancy,542,Maine,23,1,Male,161,0,1995,Years,73.50055897,73.65834938,73.33524708
26,Life expectancy,542,Maine,23,1,Male,161,0,1996,Years,74.02449781,74.18550756,73.8654637
26,Life expectancy,542,Maine,23,1,Male,161,0,1997,Years,74.44612064,74.60246934,74.286386
26,Life expectancy,542,Maine,23,1,Male,161,0,1998,Years,74.60172736,74.76158773,74.44491539
26,Life expectancy,542,Maine,23,1,Male,161,0,1999,Years,74.84661038,75.00267495,74.69679381
26,Life expectancy,542,Maine,23,1,Male,161,0,2000,Years,74.95445381,75.10905281,74.79511395
26,Life expectancy,542,Maine,23,1,Male,161,0,2001,Years,75.07246814,75.24329658,74.89948042
26,Life expectancy,542,Maine,23,1,Male,161,0,2002,Years,75.11248564,75.27306575,74.9467027
26,Life expectancy,542,Maine,23,1,Male,161,0,2003,Years,75.43791552,75.59345287,75.28680118
26,Life expectancy,542,Maine,23,1,Male,161,0,2004,Years,75.78617827,75.94245339,75.62486908
26,Life expectancy,542,Maine,23,1,Male,161,0,2005,Years,75.69297909,75.85748047,75.53237036
26,Life expectancy,542,Maine,23,1,Male,161,0,2006,Years,75.97002044,76.13376267,75.81156576
26,Life expectancy,542,Maine,23,1,Male,161,0,2007,Years,76.18694454,76.35275665,76.02238288
26,Life expectancy,542,Maine,23,1,Male,161,0,2008,Years,76.47927903,76.63821563,76.32408529
26,Life expectancy,542,Maine,23,1,Male,161,0,2009,Years,76.67912172,76.85077707,76.51471145
26,Life expectancy,542,Maine,23,1,Male,161,0,2010,Years,76.92869353,77.09945035,76.76865378
26,Life expectancy,542,Maine,23,1,Male,161,0,2011,Years,76.93934301,77.09563129,76.76750612
26,Life expectancy,542,Maine,23,1,Male,161,0,2012,Years,77.17917741,77.33929816,77.02222699
26,Life expectancy,542,Maine,23,1,Male,161,0,2013,Years,77.07956716,77.25558562,76.91185151
26,Life expectancy,542,Maine,23,1,Male,161,0,2014,Years,77.17059481,77.34794601,77.00224806
26,Life expectancy,542,Maine,23,2,Female,161,0,1980,Years,78.14707088,78.30681914,77.97056318
26,Life expectancy,542,Maine,23,2,Female,161,0,1981,Years,78.44930847,78.61949999,78.28795646
26,Life expectancy,542,Maine,23,2,Female,161,0,1982,Years,78.51758556,78.67541382,78.35608161
26,Life expectancy,542,Maine,23,2,Female,161,0,1983,Years,78.58816191,78.7424242,78.43825162
26,Life expectancy,542,Maine,23,2,Female,161,0,1984,Years,78.66312425,78.81997659,78.50939602
26,Life expectancy,542,Maine,23,2,Female,161,0,1985,Years,78.69075041,78.84088177,78.52971308
26,Life expectancy,542,Maine,23,2,Female,161,0,1986,Years,78.76247259,78.91286578,78.61093353
26,Life expectancy,542,Maine,23,2,Female,161,0,1987,Years,78.89908057,79.05636171,78.74423659
26,Life expectancy,542,Maine,23,2,Female,161,0,1988,Years,78.90695245,79.06366277,78.75710846
26,Life expectancy,542,Maine,23,2,Female,161,0,1989,Years,79.17357511,79.31885747,79.01533106
26,Life expectancy,542,Maine,23,2,Female,161,0,1990,Years,79.36748652,79.52156872,79.22174749
26,Life expectancy,542,Maine,23,2,Female,161,0,1991,Years,79.4074757,79.54686136,79.26035979
26,Life expectancy,542,Maine,23,2,Female,161,0,1992,Years,79.54404466,79.68912933,79.39989793
26,Life expectancy,542,Maine,23,2,Female,161,0,1993,Years,79.45997986,79.60245382,79.31629726
26,Life expectancy,542,Maine,23,2,Female,161,0,1994,Years,79.45290082,79.589406,79.31613525
26,Life expectancy,542,Maine,23,2,Female,161,0,1995,Years,79.55509364,79.68040675,79.41593417
26,Life expectancy,542,Maine,23,2,Female,161,0,1996,Years,79.67909192,79.81130651,79.54623385
26,Life expectancy,542,Maine,23,2,Female,161,0,1997,Years,79.79061793,79.91829332,79.65464653
26,Life expectancy,542,Maine,23,2,Female,161,0,1998,Years,79.90084337,80.02724356,79.75358672
26,Life expectancy,542,Maine,23,2,Female,161,0,1999,Years,79.8552518,79.99647094,79.70668272
26,Life expectancy,542,Maine,23,2,Female,161,0,2000,Years,79.89410649,80.02977271,79.74756875
26,Life expectancy,542,Maine,23,2,Female,161,0,2001,Years,79.91875349,80.05357861,79.7840985
26,Life expectancy,542,Maine,23,2,Female,161,0,2002,Years,80.01879494,80.1505705,79.89274093
26,Life expectancy,542,Maine,23,2,Female,161,0,2003,Years,80.13871821,80.27377351,80.01584179
26,Life expectancy,542,Maine,23,2,Female,161,0,2004,Years,80.33728595,80.46584664,80.21048107
26,Life expectancy,542,Maine,23,2,Female,161,0,2005,Years,80.46154064,80.60513322,80.32484352
26,Life expectancy,542,Maine,23,2,Female,161,0,2006,Years,80.70722617,80.84412011,80.57627052
26,Life expectancy,542,Maine,23,2,Female,161,0,2007,Years,80.91247898,81.05314608,80.77466618
26,Life expectancy,542,Maine,23,2,Female,161,0,2008,Years,81.06430574,81.19815671,80.92729059
26,Life expectancy,542,Maine,23,2,Female,161,0,2009,Years,81.05226037,81.18975884,80.91272094
26,Life expectancy,542,Maine,23,2,Female,161,0,2010,Years,81.31874978,81.447026,81.17905002
26,Life expectancy,542,Maine,23,2,Female,161,0,2011,Years,81.30026975,81.44500432,81.17067966
26,Life expectancy,542,Maine,23,2,Female,161,0,2012,Years,81.45985129,81.60107974,81.32713102
26,Life expectancy,542,Maine,23,2,Female,161,0,2013,Years,81.41919847,81.55764666,81.28367037
26,Life expectancy,542,Maine,23,2,Female,161,0,2014,Years,81.43621432,81.59145836,81.28778604
26,Life expectancy,542,Maine,23,3,Both,161,0,1980,Years,74.48388519,74.61347075,74.34839877
26,Life expectancy,542,Maine,23,3,Both,161,0,1981,Years,74.82933542,74.96117884,74.70839432
26,Life expectancy,542,Maine,23,3,Both,161,0,1982,Years,75.10068989,75.23161552,74.9636711
26,Life expectancy,542,Maine,23,3,Both,161,0,1983,Years,75.18953118,75.31031534,75.06273271
26,Life expectancy,542,Maine,23,3,Both,161,0,1984,Years,75.37412487,75.50289467,75.24928348
26,Life expectancy,542,Maine,23,3,Both,161,0,1985,Years,75.2948882,75.41367948,75.17845738
26,Life expectancy,542,Maine,23,3,Both,161,0,1986,Years,75.49255794,75.61111586,75.36626074
26,Life expectancy,542,Maine,23,3,Both,161,0,1987,Years,75.60614176,75.72666255,75.4769563
26,Life expectancy,542,Maine,23,3,Both,161,0,1988,Years,75.68023168,75.80429126,75.55700735
26,Life expectancy,542,Maine,23,3,Both,161,0,1989,Years,75.93785817,76.05403884,75.82583482
26,Life expectancy,542,Maine,23,3,Both,161,0,1990,Years,76.15530116,76.27648522,76.03402293
26,Life expectancy,542,Maine,23,3,Both,161,0,1991,Years,76.26727968,76.38599946,76.14750528
26,Life expectancy,542,Maine,23,3,Both,161,0,1992,Years,76.49596845,76.60957431,76.38478851
26,Life expectancy,542,Maine,23,3,Both,161,0,1993,Years,76.4305187,76.54391161,76.31598717
26,Life expectancy,542,Maine,23,3,Both,161,0,1994,Years,76.50706624,76.61824129,76.39283446
26,Life expectancy,542,Maine,23,3,Both,161,0,1995,Years,76.58300851,76.68620704,76.46754356
26,Life expectancy,542,Maine,23,3,Both,161,0,1996,Years,76.91812998,77.02930335,76.80431089
